Numer_zgloszenia	Numer_komputera	Data_awarii	Czas_awarii	Priorytet
1	365	01.01.2015 00:00	04:40:55	8
2	249	01.01.2015 00:00	06:08:24	3
3	312	01.01.2015 00:00	06:33:43	4
4	275	02.01.2015 00:00	00:10:08	5
5	379	02.01.2015 00:00	07:10:11	7
6	38	02.01.2015 00:00	09:50:45	8
7	265	02.01.2015 00:00	11:50:17	2
8	369	03.01.2015 00:00	00:01:59	2
9	396	03.01.2015 00:00	01:04:00	6
10	39	03.01.2015 00:00	04:29:47	8
11	236	03.01.2015 00:00	13:01:41	6
12	321	03.01.2015 00:00	19:14:52	6
13	247	03.01.2015 00:00	20:38:38	7
14	60	04.01.2015 00:00	03:01:50	8
15	150	04.01.2015 00:00	11:24:58	3
16	372	04.01.2015 00:00	14:57:35	8
17	360	04.01.2015 00:00	15:36:41	6
18	463	04.01.2015 00:00	16:00:14	7
19	413	04.01.2015 00:00	17:19:20	7
20	208	04.01.2015 00:00	23:30:11	5
21	483	05.01.2015 00:00	02:18:59	5
22	352	05.01.2015 00:00	05:00:02	4
23	380	05.01.2015 00:00	05:45:43	3
24	240	05.01.2015 00:00	07:09:24	2
25	321	05.01.2015 00:00	08:24:00	8
26	32	05.01.2015 00:00	10:19:36	5
27	462	05.01.2015 00:00	22:42:46	6
28	53	05.01.2015 00:00	22:53:56	6
29	52	06.01.2015 00:00	03:39:56	10
30	277	06.01.2015 00:00	03:42:59	3
31	314	06.01.2015 00:00	07:22:15	6
32	201	06.01.2015 00:00	11:25:12	2
33	93	06.01.2015 00:00	16:26:06	4
34	450	07.01.2015 00:00	08:43:49	3
35	230	07.01.2015 00:00	09:11:50	10
36	247	08.01.2015 00:00	01:22:44	10
37	198	08.01.2015 00:00	04:44:56	5
38	291	08.01.2015 00:00	07:19:03	4
39	112	08.01.2015 00:00	10:37:29	5
40	480	08.01.2015 00:00	15:43:02	10
41	62	08.01.2015 00:00	19:58:06	5
42	57	08.01.2015 00:00	22:47:26	9
43	90	08.01.2015 00:00	22:57:29	7
44	289	08.01.2015 00:00	23:31:11	9
45	354	09.01.2015 00:00	12:24:11	10
46	166	09.01.2015 00:00	22:22:54	5
47	187	10.01.2015 00:00	08:38:16	5
48	139	10.01.2015 00:00	13:15:03	6
49	253	10.01.2015 00:00	14:18:16	9
50	410	10.01.2015 00:00	16:34:47	4
51	222	10.01.2015 00:00	18:42:55	8
52	43	11.01.2015 00:00	02:40:30	9
53	327	11.01.2015 00:00	09:57:55	4
54	397	11.01.2015 00:00	12:57:58	3
55	341	11.01.2015 00:00	18:13:17	10
56	404	12.01.2015 00:00	03:17:06	8
57	81	12.01.2015 00:00	15:34:17	3
58	5	12.01.2015 00:00	18:16:15	6
59	367	12.01.2015 00:00	22:20:49	10
60	389	13.01.2015 00:00	01:57:49	5
61	286	13.01.2015 00:00	02:03:04	1
62	55	13.01.2015 00:00	07:42:46	3
63	151	13.01.2015 00:00	09:21:18	6
64	404	13.01.2015 00:00	12:10:46	5
65	89	13.01.2015 00:00	16:26:07	5
66	3	13.01.2015 00:00	17:32:54	9
67	478	14.01.2015 00:00	02:53:29	3
68	474	14.01.2015 00:00	06:00:16	4
69	373	14.01.2015 00:00	06:19:56	10
70	261	14.01.2015 00:00	11:27:32	3
71	30	15.01.2015 00:00	05:50:27	8
72	241	15.01.2015 00:00	09:06:04	5
73	211	15.01.2015 00:00	11:14:32	10
74	213	15.01.2015 00:00	20:34:40	6
75	249	15.01.2015 00:00	20:38:46	3
76	2	16.01.2015 00:00	02:35:21	1
77	256	16.01.2015 00:00	03:00:36	4
78	466	16.01.2015 00:00	19:29:45	4
79	111	17.01.2015 00:00	01:49:30	3
80	55	17.01.2015 00:00	04:52:40	1
81	454	17.01.2015 00:00	10:21:07	7
82	333	17.01.2015 00:00	14:10:15	9
83	92	17.01.2015 00:00	14:32:17	5
84	328	17.01.2015 00:00	18:44:21	5
85	397	18.01.2015 00:00	04:11:45	6
86	253	18.01.2015 00:00	06:18:26	9
87	83	18.01.2015 00:00	08:21:18	7
88	482	18.01.2015 00:00	13:09:29	7
89	437	18.01.2015 00:00	16:26:28	10
90	113	19.01.2015 00:00	03:19:43	1
91	310	19.01.2015 00:00	07:05:46	8
92	434	19.01.2015 00:00	07:11:24	5
93	186	19.01.2015 00:00	08:03:16	2
94	63	19.01.2015 00:00	19:24:31	2
95	451	19.01.2015 00:00	19:54:19	7
96	223	19.01.2015 00:00	20:10:39	3
97	480	19.01.2015 00:00	21:12:13	10
98	73	19.01.2015 00:00	22:34:08	1
99	272	20.01.2015 00:00	04:14:50	10
100	461	20.01.2015 00:00	07:19:37	9
101	248	20.01.2015 00:00	21:21:11	1
102	300	20.01.2015 00:00	22:35:22	9
103	438	20.01.2015 00:00	22:54:42	2
